sport,event_id,event_name,bookmaker,market_type,team,price,point
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,Caesars,h2h,Edmonton Oilers,1.49,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,Caesars,h2h,St Louis Blues,2.7,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,FanDuel,h2h,Los Angeles Kings,2.05,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,FanDuel,h2h,Winnipeg Jets,1.79,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,DraftKings,h2h,Los Angeles Kings,2.05,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,DraftKings,h2h,Winnipeg Jets,1.8,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,BetMGM,h2h,Los Angeles Kings,2.05,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,BetMGM,h2h,Winnipeg Jets,1.8,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,Caesars,h2h,Los Angeles Kings,2.05,
icehockey_nhl,3c66b6b6d05701b10cb2279cd02504b8,Winnipeg Jets vs Los Angeles Kings,Caesars,h2h,Winnipeg Jets,1.8,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,FanDuel,h2h,San Jose Sharks,2.8,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,FanDuel,h2h,Seattle Kraken,1.45,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,DraftKings,h2h,San Jose Sharks,2.85,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,DraftKings,h2h,Seattle Kraken,1.44,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,BetMGM,h2h,San Jose Sharks,2.8,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,BetMGM,h2h,Seattle Kraken,1.44,
icehockey_nhl,e0a0a1778e9f6ab82abb25d5bf8438de,San Jose Sharks vs Seattle Kraken,Caesars,h2h,San Jose Sharks,2.85,
