sport,event_id,event_name,bookmaker,team,price
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,BetRivers,New Jersey Devils,2.2
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,BetRivers,Toronto Maple Leafs,1.68
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,DraftKings,New Jersey Devils,2.24
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,DraftKings,Toronto Maple Leafs,1.68
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,FanDuel,New Jersey Devils,2.25
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,FanDuel,Toronto Maple Leafs,1.67
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,BetMGM,New Jersey Devils,2.2
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,BetMGM,Toronto Maple Leafs,1.69
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,SI Sportsbook,New Jersey Devils,2.2
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,SI Sportsbook,Toronto Maple Leafs,1.66
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,Caesars,New Jersey Devils,2.22
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,Caesars,Toronto Maple Leafs,1.69
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,WynnBET,New Jersey Devils,2.3
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,WynnBET,Toronto Maple Leafs,1.7
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,ESPN BET,New Jersey Devils,2.25
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,ESPN BET,Toronto Maple Leafs,1.69
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,betPARX,Edmonton Oilers,1.83
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,betPARX,Winnipeg Jets,1.97
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,BetRivers,Edmonton Oilers,1.83
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,BetRivers,Winnipeg Jets,1.97
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,DraftKings,Edmonton Oilers,1.85
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,DraftKings,Winnipeg Jets,1.98
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,FanDuel,Edmonton Oilers,1.83
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,FanDuel,Winnipeg Jets,2.0
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,ESPN BET,Edmonton Oilers,1.8
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,ESPN BET,Winnipeg Jets,2.05
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,BetMGM,Edmonton Oilers,1.83
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,BetMGM,Winnipeg Jets,2.0
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,Caesars,Edmonton Oilers,1.8
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,Caesars,Winnipeg Jets,2.05
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,SI Sportsbook,Edmonton Oilers,1.8
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,SI Sportsbook,Winnipeg Jets,2.0
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,WynnBET,Edmonton Oilers,1.82
icehockey_nhl,b3a20feeb41e073460ef243ddc9b20c2,Winnipeg Jets vs Edmonton Oilers,WynnBET,Winnipeg Jets,2.11
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,betPARX,Nashville Predators,1.77
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,betPARX,Vegas Golden Knights,2.08
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,BetRivers,Nashville Predators,1.77
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,BetRivers,Vegas Golden Knights,2.08
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,DraftKings,Nashville Predators,1.74
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,DraftKings,Vegas Golden Knights,2.14
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,FanDuel,Nashville Predators,1.78
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,FanDuel,Vegas Golden Knights,2.06
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,BetMGM,Nashville Predators,1.8
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,BetMGM,Vegas Golden Knights,2.05
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,SI Sportsbook,Nashville Predators,1.75
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,SI Sportsbook,Vegas Golden Knights,2.05
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,ESPN BET,Nashville Predators,1.77
icehockey_nhl,7687e7cbdb2cd554b0e010203f54f6e7,Nashville Predators vs Vegas Golden Knights,ESPN BET,Vegas Golden Knights,2.1
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,betPARX,Calgary Flames,1.56
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,betPARX,Chicago Blackhawks,2.45
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,BetRivers,Calgary Flames,1.56
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,BetRivers,Chicago Blackhawks,2.45
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,DraftKings,Calgary Flames,1.57
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,DraftKings,Chicago Blackhawks,2.45
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,FanDuel,Calgary Flames,1.52
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,FanDuel,Chicago Blackhawks,2.6
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,ESPN BET,Calgary Flames,1.57
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,ESPN BET,Chicago Blackhawks,2.5
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,Caesars,Calgary Flames,1.59
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,Caesars,Chicago Blackhawks,2.43
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,BetMGM,Calgary Flames,1.54
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,BetMGM,Chicago Blackhawks,2.5
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,SI Sportsbook,Calgary Flames,1.53
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,SI Sportsbook,Chicago Blackhawks,2.45
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,WynnBET,Calgary Flames,1.59
icehockey_nhl,bc3700e6cab939c79f3b8bb94b3319a3,Chicago Blackhawks vs Calgary Flames,WynnBET,Chicago Blackhawks,2.55
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,betPARX,Colorado Avalanche,1.25
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,betPARX,Montréal Canadiens,4.0
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,BetRivers,Colorado Avalanche,1.25
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,BetRivers,Montréal Canadiens,4.0
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,DraftKings,Colorado Avalanche,1.24
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,DraftKings,Montréal Canadiens,4.2
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,FanDuel,Colorado Avalanche,1.24
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,FanDuel,Montréal Canadiens,4.2
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,ESPN BET,Colorado Avalanche,1.25
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,ESPN BET,Montréal Canadiens,4.2
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,BetMGM,Colorado Avalanche,1.25
